wallet_address,rank,first_timestamp,last_timestamp,transactions,amount_btc,balance_btc,total_fee,first_block,last_block,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct,timestamp
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2017-03-28 13:59:19,2017-03-28 14:09:26,"51dd2ec837881c1cca5454ecfc0b81244e574725d9ec65fd2d7b106192bd769d,f9dc70c62653eed0ddbd35182e3cd0aa645390debc1c8bd1c27eb465f340bcf8,a4f74d2f94f5778eb9149d02bdf7bc0c784a410b089a5ecf45f5a4390c350fd8,6e2d3a3c760b5526c1c85464fd61164412969b10092856970bcf3357973a9617,fa6995d56d226151b9905307a1c61a68eff900ed6dfc0cceb053681ec87018b1",20008.0,20008.0,0.00148555,459340,459342,2025-07-16 23:24:05.173259,1044.7,20902357.6,buy,100.0,2017-03-28
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2018-03-31 17:49:10,2018-03-31 17:49:10,"a33b7ee335d62e8618eef9343edca383fd4958d1509bb4e1faf9b0cbcbe9de1d,08089a376e62879c72f96ea88da185dc973646715825adcfc5db40eac9dbabf9,5f6f137c2d9e940d93b1c048c85fcb45c8c88c685c850595b0d160b17e51dd34",2.465e-05,20008.00002465,2.0340000000000002e-05,516011,516011,2025-07-16 23:24:05.173259,6925.3,0.170708645,buy,1.23200719560331e-07,2018-03-31
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2018-05-08 09:26:07,2018-05-08 09:26:07,cba5d142dba5990e4fd6377b0b46bddffda7a131af04e8d62c9eef00409584e7,6.66e-06,20008.00003131,9.232e-05,521736,521736,2025-07-16 23:24:05.173259,9184.7,0.061170102000000004,buy,3.328668527378018e-08,2018-05-08
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2018-05-21 05:24:36,2018-05-21 05:24:36,763399427209efd58054a70e6e2050fab6d139d81c32f0006dc3374d55e872a8,3.3e-05,20008.00006431,3.451e-05,523643,523643,2025-07-16 23:24:05.173259,8393.4,0.2769822,buy,1.6493402585931095e-07,2018-05-21
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2018-06-30 12:38:13,2018-06-30 12:38:13,d80bd83d7fcc99479494c9d8d9ad135274bd2a47bf65050db468fea2b9137530,6.84e-06,20008.00007115,1.13e-05,529887,529887,2025-07-16 23:24:05.173259,6391.5,0.04371786,buy,3.418632534824285e-08,2018-06-30
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2018-07-02 03:30:04,2018-07-02 03:30:04,8cace7bd82a5e01acdbf8678c3c2d5ec0be0645827bb91446b18259fecb1347a,6.66e-06,20008.00007781,0.0003585,530138,530138,2025-07-16 23:24:05.173259,6581.3,0.043831458,buy,3.328668519641958e-08,2018-07-02
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2018-07-07 14:23:53,2018-07-07 16:34:43,"fd502081d010787649d6855d58b2b9feef722851fcbfb6b4528d157aa1032229,c46606b23070d236b87069e527e884b2cf9f6187ea315bf1a02e7a51acd4954c",1.8290000000000003e-05,20008.0000961,6.677e-05,530895,530913,2025-07-16 23:24:05.173259,6761.7,0.12367149300000001,buy,9.141343418708362e-08,2018-07-07
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2018-07-31 08:06:19,2018-07-31 08:06:19,74f9a046c3562495aed04ff21415d229a67a9548d2970007712b098c9997d519,6.74e-06,20008.00010284,2.26e-06,534511,534511,2025-07-16 23:24:05.173259,7730.6,0.052104244,buy,3.3686525216697206e-08,2018-07-31
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2018-08-26 05:28:10,2018-08-26 05:28:10,d8b2b1238a1271cbf02efd3c4e6cdd4bddfd8136e418a252e7c3da451ff12a8e,6.84e-06,20008.00010968,2.26e-06,538503,538503,2025-07-16 23:24:05.173259,6708.4,0.045885456,buy,3.418632528240923e-08,2018-08-26
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,24.0,2018-09-05 14:51:38,2018-09-05 14:51:38,d3409f7becbdb7ae6922b6f7ad7c78781feed26d48d8a1caf5806db58f47630f,1e-05,20008.00011968,0.00165324,540059,540059,2025-07-16 23:24:05.173259,6710.5,0.06710500000000001,buy,4.9980007697840495e-08,2018-09-05
