wallet_address,timestamp,hash,amount_btc,balance_btc,fee,block_height,price_usd,transaction_value_usd,transaction_type,portfolio_pct
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-01-22 17:05:59,e2068b69b3249bdc301a1e77f8e5ad396c61f84ab4fe42daf5ecb7ac02d630f7,0.01,0.01,0.000767,505553,10771.0,107.71000000000001,buy,100.0
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-01-22 22:14:04,4a5b87d8145cfe8f0290dc5e0a1531bca2da38322ea8f496f1c4a6c581f2f8c2,-0.01,0.0,0.000636,505587,10771.0,-107.71000000000001,sell,
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-05-17 15:45:54,842e5bc440424f0ab94c9bf058483324b2a3641d6b461c8ff353970d4262dc65,15745.55505535,15745.55505535,0.00052796,523134,8051.8,126780060.19466713,buy,100.0
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-05-21 03:07:42,204b90765a6e35e2ba111e0e519f0090dbe14a607c0b950ff8e3b05250fd2757,9e-06,15745.55506435,1.729e-05,523634,8393.4,0.0755406,buy,5.7158988446061075e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-05-21 05:24:36,763399427209efd58054a70e6e2050fab6d139d81c32f0006dc3374d55e872a8,3.3e-05,15745.55509735,3.451e-05,523643,8393.4,0.2769822,buy,2.095829571963071e-07
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-07-07 14:23:53,fd502081d010787649d6855d58b2b9feef722851fcbfb6b4528d157aa1032229,1e-05,15745.55510735,6.319e-05,530895,6761.7,0.06761700000000001,buy,6.35099869888488e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-07-07 16:34:43,0403523e19582a1c322022b5bf21a92d36a8ec03567443741b2e096eceb700ec,8.28e-06,15745.55511563,3.6e-06,530913,6761.7,0.055986876,buy,5.258626919911363e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-07-31 11:41:50,0607257b4157de8704bfbc80760c95dd90daabd794e20824b9fac6e555d3fb65,6.74e-06,15745.55512237,2.26e-06,534529,7730.6,0.052104244,buy,4.280573118965083e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-08-26 05:28:10,f743a03934e2785d5c2d4f369b64f95cd1ef7b82150e58b6946c512e53ae4233,6.84e-06,15745.55512921,2.26e-06,538503,6708.4,0.045885456,buy,4.344083104006243e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-09-05 14:51:38,d3409f7becbdb7ae6922b6f7ad7c78781feed26d48d8a1caf5806db58f47630f,1e-05,15745.55513921,0.00165324,540059,6710.5,0.06710500000000001,buy,6.350998686034089e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-09-06 16:13:51,d2fc5dc604d7b806213a02a2b94bd99b25d8c0e933921b03a0102aca680f1d25,8.88e-06,15745.55514809,0.00113854,540218,6515.6,0.057858528,buy,5.6396868300176634e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-10-14 09:17:36,d7cba98354032301dac1610ee9415a915c6e10b64cc710e9a18bcc174fb6b5f8,5.55e-06,15745.55515364,2.26e-06,545700,6335.2,0.03516036,buy,3.5248042675186154e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-10-18 08:03:44,10266bfb98ec9ed944155c393182083ef2993087565062c15744a5702d35647a,6.67e-06,15745.55516031,2.26e-06,546264,6613.0,0.044108709999999995,buy,4.2361161179080844e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-10-21 14:12:21,ad2b58216d977597b357916f1ef0773864bee73f34c541f55c393b6598204bee,6.66e-06,15745.55516697,5.555e-05,546720,6591.6,0.043900056,buy,4.2297651174414695e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-10-23 11:50:56,1d6580dcd979951bd600252b741c22a3ea8e605e43168f8452c68915c3ea2bf3,8.88e-06,15745.55517585,0.00085258,547011,6550.0,0.058164,buy,5.639686820074686e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-11-23 14:26:53,de7beb2cf9c757d55d2a6c1b138d8ed3143316ee5c3b1be2dceb0d1459bf993f,5.09e-05,15745.55522675,9.516e-05,551193,4422.7,0.22511542999999998,buy,3.2326583132188557e-07
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-12-06 16:30:42,90f1b712683a0685c371db52709a7470b025e1ce761dca156c14a19716fdf719,0.00027282,15745.55549957,2.865e-05,552792,3531.3,0.9634092660000001,buy,1.7326794218689236e-06
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2018-12-09 04:53:43,27d481688b120c7273b78d43b10dac28579cde3596678b4b48989ab318965bbf,8.88e-06,15745.55550845,2.26e-06,553100,3639.6,0.032319648,buy,5.639686700945206e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2019-03-15 09:22:07,f55293d079bb4d771f20c28676a81bd216edbdb18045cf1642c3ac407107df4e,5.46e-06,15745.55551391,7.46e-06,567164,4003.1,0.021856926,buy,3.467645200054394e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2019-03-15 18:59:36,4dea31c6bfc3097a2e78534e9379fbb64d7f40caec161888578234aa46738c56,1e-05,15745.55552391,3.629e-05,567225,4003.1,0.040031000000000004,buy,6.35099853086464e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2019-03-15 20:25:46,58c7df7551751d332f3101cd2baa68a6b76ae3e7e895c325222b8aa2f9d43a57,1e-05,15745.55554391,2.483e-05,567231,4003.1,0.040031000000000004,buy,6.350998522797602e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2019-03-15 20:25:46,c4b9d7b246127e5b834946a9d42fdfbcbb247147690efaa6eb913f5e3f9385a3,1e-05,15745.55553391,2.483e-05,567231,4003.1,0.040031000000000004,buy,6.35099852683112e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2019-03-21 08:09:39,63b0af478ca30cfb4124fdc8082ca3f856c63cc1e6522fd4f892607c1201da80,5.46e-06,15745.55554937,2.92e-06,568098,4044.8,0.022084608000000002,buy,3.4676451922450346e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2019-03-29 19:08:43,190705f8eb3c71a6a1e0889978a4eb45a9ba9007a54f0bcc185310ec20474968,1e-05,15745.55555937,6.685e-05,569356,4179.0,0.04179,buy,6.350998516561784e-08
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,2019-03-31 01:44:13,24ce79cd770e7b0aefd5971492ea058f5237b314088e7779b3425561f8adfc06,8.88e-06,15745.55556825,4.05e-05,569526,4167.6,0.037008288,buy,5.639686679526257e-08
