wallet_address,timestamp,hash,amount_btc,balance_btc,fee,block_height,price_usd,transaction_value_usd,transaction_type,portfolio_pct
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2022-11-02 06:31:26,73d984aec54d14ad7ae20b09cb6727b6e4bc63ab9414142f4b3001122be1f4d5,0.005,0.005,2.513e-05,761373.0,20168.0,100.84,buy,100.0
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2022-11-02 07:16:48,0aead9fee9f8f583f60a24eff4d4f9101e6a52d539f3a8e8b03002002cfa14db,-0.00305296,0.00194704,5.296e-05,761378.0,20168.0,-61.57209728,sell,156.80006574081685
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2022-11-04 14:11:13,26333c5a009a9f21080bda644a6b5fb3540a01e7d753e9622bfa76ead9e966b1,0.001,0.00294704,3.35e-05,761699.0,21168.0,21.168,buy,33.93235246213149
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2022-11-04 14:35:06,78d358fa5ed57bbccf2701fe08f4e37210cfc2b7c8baaff4112f4cc563762eaf,10000.0,10000.00294704,3.35e-05,761702.0,21168.0,211680000.0,buy,99.99997052960869
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2023-09-26 06:15:26,7143416a3ca935c8fabaaa88306c7edbac78ac72536786e660a8782720062094,6e-06,10000.00295304,2e-06,810394.0,26244.0,0.157464,buy,5.999998228176523e-08
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2023-12-02 11:34:21,90f02d292e295c74ba2731a2e00f28d19a752765872576e5e81a4e9a8a4949ee,6e-06,10000.00326901,1.94e-06,,39438.0,0.236628,buy,5.999998038594642e-08
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2024-01-18 02:10:02,201ffd0d2de9bc8a0e3c9dc87ec811f9a8cfcd2f090563626a969f8c9c2077d8,5.46e-06,10000.0029585,0.00013938,826203.0,41337.0,0.22570002,buy,5.4599983846594783e-08
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2024-02-22 03:16:02,09bdbd6c00afe7d8c832b2b26b98f2a4cda06e111ee391add64c915105c6f297,5.46e-06,10000.00296396,3.03e-05,831487.0,51287.0,0.28002702,buy,5.459998381678321e-08
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2024-03-07 08:18:38,558aea445bc91f60aff0888e42b4501f48a44f6fb703836ab9beb12ff014944b,0.00014949,10000.00311345,0.00051477,833544.0,66744.0,9.97756056,buy,1.4948995345705045e-06
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2024-06-17 16:49:53,64ed6b400510f8196fc0acf69ca2abbd85354cb00224df0fdc0c2066f8c3f376,5.46e-06,10000.00311891,9e-06,851012.0,66570.0,0.3634722,buy,5.459998297075672e-08
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,2024-11-02 21:26:39,4c34a9ee02dcf7a0425790892edec7dcafdb5c9b72b1fc8430d77cd75ad237e2,0.0001441,10000.00326301,1.022e-05,868609.0,69292.0,9.984977200000001,buy,1.4409995298004126e-06
